russian_word;english_word;img_card;sound_card
Выглядеть;Look;https://mnemoenglish.ru/img/mnemocard/13f6c6cf7e40f2ccfa97e9fe31f8c7b3.jpeg;https://mnemoenglish.ru/sound/englishdom/look.mp3
Закрыть;Shut;https://mnemoenglish.ru/img/mnemocard/92165a72da27b2acc5f588cfb0a2d267.jpeg;https://mnemoenglish.ru/sound/englishdom/shut.mp3
Подписывать,знак;Sign;https://mnemoenglish.ru/img/mnemocard/66bc11bcfdf1bf19625490c7dc42ece3.jpeg;https://mnemoenglish.ru/sound/manualy/sign.mp3
Плавать;Swim;https://mnemoenglish.ru/img/mnemocard/086698a7a5a3eca81e7fa7697f6d7bb7.jpeg;https://mnemoenglish.ru/sound/englishdom/swim.mp3
Говорить;Talk;https://mnemoenglish.ru/img/mnemocard/5f2c585f1719ebe21a45100d9ff7527c.jpeg;https://mnemoenglish.ru/sound/englishdom/talk.mp3
Путешествовать;Travel;https://mnemoenglish.ru/img/mnemocard/350040ec821249452852e63d31d2595a.jpeg;https://mnemoenglish.ru/sound/englishdom/travel.mp3
Ждать;Wait;https://mnemoenglish.ru/img/mnemocard/6e9e1f15c0f6f5cd67847bad8da7782f.jpeg;https://mnemoenglish.ru/sound/englishdom/wait.mp3
Перезвонить;Call back;https://mnemoenglish.ru/img/mnemocard/829a7138482cf146fe74c523ac71e312.jpeg;https://mnemoenglish.ru/sound/englishdom/call back.mp3
Убегать;Run away;https://mnemoenglish.ru/img/mnemocard/9a4e846973298b2e004600b14fdbf74c.jpeg;https://mnemoenglish.ru/sound/englishdom/run away.mp3
Слепой;Blind;https://mnemoenglish.ru/img/mnemocard/148543f2e91927fdeb924cc6289b76b0.jpeg;https://mnemoenglish.ru/sound/englishdom/blind.mp3
Мозг;Brain;https://mnemoenglish.ru/img/mnemocard/8a1a3bf9970c6ace359feed9e56b0c79.jpeg;https://mnemoenglish.ru/sound/englishdom/brain.mp3
Мультфильм;Cartoon;https://mnemoenglish.ru/img/mnemocard/1bb5299a4ddece7f7ef64bc6dc2bd898.jpeg;https://mnemoenglish.ru/sound/englishdom/cartoon.mp3
Круг;Circle;https://mnemoenglish.ru/img/mnemocard/841115f2507eb949468a9e1fd836ae50.jpeg;https://mnemoenglish.ru/sound/englishdom/circle.mp3
Ужас;Horror;https://mnemoenglish.ru/img/mnemocard/5b1c4b54cc34e633dd97e8823d3b20d7.jpeg;https://mnemoenglish.ru/sound/englishdom/horror.mp3
Упоминать;Mention;https://mnemoenglish.ru/img/mnemocard/388717852ca07083e6a7c984d5c756b5.jpeg;https://mnemoenglish.ru/sound/englishdom/mention.mp3
Сообщение;Message;https://mnemoenglish.ru/img/mnemocard/834a51180bf84b2829ef491c3c95f811.jpeg;https://mnemoenglish.ru/sound/englishdom/message.mp3
Гора;Mountain;https://mnemoenglish.ru/img/mnemocard/8778feaf0ff712e3318221978cdfc182.jpeg;https://mnemoenglish.ru/sound/englishdom/mountain.mp3
Пианино;Piano;https://mnemoenglish.ru/img/mnemocard/2001f8d412e31f9fb4b31028b2cd44f7.jpeg;https://mnemoenglish.ru/sound/englishdom/piano.mp3
Осознавать;Realize;https://mnemoenglish.ru/img/mnemocard/37723ba87114572a87e1077359069bfb.jpeg;https://mnemoenglish.ru/sound/englishdom/realize.mp3
Овца;Sheep;https://mnemoenglish.ru/img/mnemocard/4d7dacdb6832618a3edfaf08477e1e21.jpeg;https://mnemoenglish.ru/sound/englishdom/sheep.mp3
Скрипка;Violin;https://mnemoenglish.ru/img/mnemocard/1c9312f31caf5c398cfe690fd4e44d94.jpeg;https://mnemoenglish.ru/sound/englishdom/violin.mp3
Бродить;Wander;https://mnemoenglish.ru/img/mnemocard/385b636199aa21b6992f50e2b6a1c06e.jpeg;https://mnemoenglish.ru/sound/englishdom/wander.mp3
Рулевое колесо;Wheel;https://mnemoenglish.ru/img/mnemocard/39980806d9e599d81af35bcb1bb8bb10.jpeg;https://mnemoenglish.ru/sound/englishdom/wheel.mp3
Любитель;Amateur;https://mnemoenglish.ru/img/mnemocard/4115f33156985b0eeb0e37d3815f6563.jpeg;https://mnemoenglish.ru/sound/englishdom/amateur.mp3
Фартук;Apron;https://mnemoenglish.ru/img/mnemocard/5aa84da9359a4efae9a68cfd78e53b67.jpeg;https://mnemoenglish.ru/sound/englishdom/apron.mp3
Ползать;Crawl;https://mnemoenglish.ru/img/mnemocard/4bfdb1cce1209250fad0e1c1b8138ef6.jpeg;https://mnemoenglish.ru/sound/englishdom/crawl.mp3
Знание;Knowledge;https://mnemoenglish.ru/img/mnemocard/7ee7af04bea6838ef7089e94831c4af9.jpeg;https://mnemoenglish.ru/sound/englishdom/knowledge.mp3
Зеркало;Mirror;https://mnemoenglish.ru/img/mnemocard/19358d4378b7ccf4668f660b162a81bc.jpeg;https://mnemoenglish.ru/sound/englishdom/mirror.mp3
Удовольствие;Pleasure;https://mnemoenglish.ru/img/mnemocard/8335af5b6a136065da13dec8bd0a158e.jpeg;https://mnemoenglish.ru/sound/englishdom/pleasure.mp3
Достаточный;Sufficient;https://mnemoenglish.ru/img/mnemocard/47b8141fc5adda28e11eec97559d0d4b.jpeg;https://mnemoenglish.ru/sound/englishdom/sufficient.mp3
Свистеть;Whistle;https://mnemoenglish.ru/img/mnemocard/04047ce085142ca5218ec28ee2c61ecc.jpeg;https://mnemoenglish.ru/sound/englishdom/whistle.mp3
Книга;Book;https://mnemoenglish.ru/img/mnemocard/02fec972636e2b03bc1ba6fc915af1a5.jpeg;https://mnemoenglish.ru/sound/englishdom/book.mp3
Купить;Buy;https://mnemoenglish.ru/img/mnemocard/13052d9cf9b8efbf654c712503c52509.jpeg;https://mnemoenglish.ru/sound/englishdom/buy.mp3
Цвет;Colour;https://mnemoenglish.ru/img/mnemocard/24f079f1205cdaf0665844e3e162caad.jpeg;https://mnemoenglish.ru/sound/englishdom/colour.mp3
Приходить;Come;https://mnemoenglish.ru/img/mnemocard/192b912a1a99455bdcf36797f9ba913c.jpeg;https://mnemoenglish.ru/sound/englishdom/come.mp3
Дверь;Door;https://mnemoenglish.ru/img/mnemocard/8f11379e71dfc8134e5b50faa773150e.jpeg;https://mnemoenglish.ru/sound/englishdom/door.mp3
Глаз;Eye;https://mnemoenglish.ru/img/mnemocard/207c217963677ba7c5edc9c1c9a0a448.jpeg;https://mnemoenglish.ru/sound/englishdom/eye.mp3
Свободный;Free;https://mnemoenglish.ru/img/mnemocard/92a2f2d62c79254103f3ea700a687f9a.jpeg;https://mnemoenglish.ru/sound/englishdom/free.mp3
Любовь;Love;https://mnemoenglish.ru/img/mnemocard/890379ce87ac9ea8fce5b98e2de42b17.jpeg;https://mnemoenglish.ru/sound/englishdom/love.mp3
Деньги;Money;https://mnemoenglish.ru/img/mnemocard/4f8cbf498ad08553457177eac9432b39.jpeg;https://mnemoenglish.ru/sound/englishdom/money.mp3
Часто;Often;https://mnemoenglish.ru/img/mnemocard/79f1b5df59ab5131db583c6b1249499c.jpeg;https://mnemoenglish.ru/sound/englishdom/often.mp3
Часть;Part;https://mnemoenglish.ru/img/mnemocard/2c7444db067e4c7a91423c17fc417e80.jpeg;https://mnemoenglish.ru/sound/englishdom/part.mp3
Кусок;Piece;https://mnemoenglish.ru/img/mnemocard/758f2a52ed1267abb6d8a260219bbc6c.jpeg;https://mnemoenglish.ru/sound/englishdom/piece.mp3
Сторона;Side;https://mnemoenglish.ru/img/mnemocard/69ea30bed6ac6a9b87f0dec5960dcd57.jpeg;https://mnemoenglish.ru/sound/englishdom/side.mp3
Солнце;Sun;https://mnemoenglish.ru/img/mnemocard/2c1a039ffa6811e3ce9374bd54b9146c.jpeg;https://mnemoenglish.ru/sound/englishdom/sun.mp3
Вода;Water;https://mnemoenglish.ru/img/mnemocard/06258e0a6bdef02c66383a3bf43d6eda.jpeg;https://mnemoenglish.ru/sound/englishdom/water.mp3
Машина;Car;https://mnemoenglish.ru/img/mnemocard/1789f8d5571d5eb156060ad7440e61a9.jpeg;https://mnemoenglish.ru/sound/englishdom/car.mp3
Большой город;City;https://mnemoenglish.ru/img/mnemocard/03ea30cbc889d23c47f5a83072d4823c.jpeg;https://mnemoenglish.ru/sound/englishdom/city.mp3
Огонь;Fire;https://mnemoenglish.ru/img/mnemocard/59724a0d7e918bfda0ab23887a0ffa67.jpeg;https://mnemoenglish.ru/sound/englishdom/fire.mp3
Рыба;Fish;https://mnemoenglish.ru/img/mnemocard/1f07a3b91873b743c102d0c578990996.jpeg;https://mnemoenglish.ru/sound/englishdom/fish.mp3
Лошадь;Horse;https://mnemoenglish.ru/img/mnemocard/934759c34f168d61274d312d41ae0b75.jpeg;https://mnemoenglish.ru/sound/englishdom/horse.mp3
Король;King;https://mnemoenglish.ru/img/mnemocard/13b0f3b606629c04ee594bf7e3140572.jpeg;https://mnemoenglish.ru/sound/englishdom/king.mp3
Север;North;https://mnemoenglish.ru/img/mnemocard/3a1173f3ea8a4e3ac747ceef5343b96d.jpeg;https://mnemoenglish.ru/sound/englishdom/north.mp3
Ручка;Pen;https://mnemoenglish.ru/img/mnemocard/87c9dcf28e439a8c36ae8daaa74a3aa5.jpeg;https://mnemoenglish.ru/sound/englishdom/pen.mp3
Растение;Plant;https://mnemoenglish.ru/img/mnemocard/637386e3300c6efe59d4804418a837c9.jpeg;https://mnemoenglish.ru/sound/englishdom/plant.mp3
Вопрос;Question;https://mnemoenglish.ru/img/mnemocard/75e488f202d0cb13f35b729aa9e416b4.jpeg;https://mnemoenglish.ru/sound/englishdom/question.mp3
Речка;River;https://mnemoenglish.ru/img/mnemocard/1d8576a4958f0f80368d35f0a2bd8846.jpeg;https://mnemoenglish.ru/sound/englishdom/river.mp3
Море;Sea;https://mnemoenglish.ru/img/mnemocard/88eb9dfe44fe1449ec0f2f250f6a569b.jpeg;https://mnemoenglish.ru/sound/englishdom/sea.mp3
Корабль;Ship;https://mnemoenglish.ru/img/mnemocard/70581f0761468b4bfee56dbb397e7aef.jpeg;https://mnemoenglish.ru/sound/englishdom/ship.mp3
Звук;Sound;https://mnemoenglish.ru/img/mnemocard/7039532ba522cb406ab7d0256b8eab46.jpeg;https://mnemoenglish.ru/sound/englishdom/sound.mp3
Юг;South;https://mnemoenglish.ru/img/mnemocard/2456cd31f2245eb3b5c6d395c937d586.jpeg;https://mnemoenglish.ru/sound/englishdom/south.mp3
Пространство;Space;https://mnemoenglish.ru/img/mnemocard/8323bac9a39cb5b01cd29ffa813ecc2f.jpeg;https://mnemoenglish.ru/sound/englishdom/space.mp3
Дерево;Tree;https://mnemoenglish.ru/img/mnemocard/66eaeb3a2432e5e9ae94c72b56c4755f.jpeg;https://mnemoenglish.ru/sound/englishdom/tree.mp3
Ветер;Wind;https://mnemoenglish.ru/img/mnemocard/80ce2655e828539838a93e6bb67f7786.jpeg;https://mnemoenglish.ru/sound/englishdom/wind.mp3
Назад;Back;https://mnemoenglish.ru/img/mnemocard/85cbe436e67d0de913bfbb8568c7e149.jpeg;https://mnemoenglish.ru/sound/englishdom/back.mp3
Не;Not;https://mnemoenglish.ru/img/mnemocard/60a6ad14ab6f0c9b91faaa2eeacebabf.jpeg;https://mnemoenglish.ru/sound/englishdom/not.mp3
Видеть;See;https://mnemoenglish.ru/img/mnemocard/48d4119f380bfa9b53632478ed0a24b6.jpeg;https://mnemoenglish.ru/sound/englishdom/see.mp3
Яркий;Bright;https://mnemoenglish.ru/img/mnemocard/9957868e7a0d0f29c6fba3026ab7c65f.jpeg;https://mnemoenglish.ru/sound/englishdom/bright.mp3
Спокойный;Calm;https://mnemoenglish.ru/img/mnemocard/32eb16894fece38e50a8ffaf1fd6696b.jpeg;https://mnemoenglish.ru/sound/englishdom/calm.mp3
Умный;Clever;https://mnemoenglish.ru/img/mnemocard/05eccc38b9a9e39225a14cc9988d1747.jpeg;https://mnemoenglish.ru/sound/englishdom/clever.mp3
Горячий;Hot;https://mnemoenglish.ru/img/mnemocard/50ef68205303cf596b45806359ec4b97.jpeg;https://mnemoenglish.ru/sound/englishdom/hot.mp3
Гордый;Proud;https://mnemoenglish.ru/img/mnemocard/4653f8cce8bf5884bd8f6ceeecac229e.jpeg;https://mnemoenglish.ru/sound/englishdom/proud.mp3
Медленный;Slow;https://mnemoenglish.ru/img/mnemocard/92eab036f30bacc5d38494fdac08410c.jpeg;https://mnemoenglish.ru/sound/englishdom/slow.mp3
Маленький;Small;https://mnemoenglish.ru/img/mnemocard/95e2909845bc78671f1da679e3105d25.jpeg;https://mnemoenglish.ru/sound/englishdom/small.mp3
Тупой;Stupid;https://mnemoenglish.ru/img/mnemocard/632beb132408e91eadb458e5362b5d04.jpeg;https://mnemoenglish.ru/sound/englishdom/stupid.mp3
Уродливый;Ugly;https://mnemoenglish.ru/img/mnemocard/25645e2bdfe8eaaec206030fe99b8b60.jpeg;https://mnemoenglish.ru/sound/englishdom/ugly.mp3
Ниже;Below;https://mnemoenglish.ru/img/mnemocard/3c3c99a78079b815b6dff36f3004fdf9.jpeg;https://mnemoenglish.ru/sound/englishdom/below.mp3
Меньше;Less;https://mnemoenglish.ru/img/mnemocard/361bb39c1f143f844d851bae29e12d4c.jpeg;https://mnemoenglish.ru/sound/englishdom/less.mp3
Около;Nearly;https://mnemoenglish.ru/img/mnemocard/6b2d4c44bf1d92313aa23dd7b08ad793.jpeg;https://mnemoenglish.ru/sound/englishdom/nearly.mp3
Бросать;Cast;https://mnemoenglish.ru/img/mnemocard/511c02a389c1997831dfa2aa32bffdf9.jpeg;https://mnemoenglish.ru/sound/englishdom/cast-cast-cast.mp3
Светить;Shine;https://mnemoenglish.ru/img/mnemocard/4b70378289130fb06ad4fe8975e9f8b0.jpeg;https://mnemoenglish.ru/sound/englishdom/shine-shone-shone.mp3
Стрелять;Shoot;https://mnemoenglish.ru/img/mnemocard/04752558486da4a1f025e959f6598ef8.jpeg;https://mnemoenglish.ru/sound/englishdom/shoot-shot-shot.mp3
Идти крадучись;Sneak;https://mnemoenglish.ru/img/mnemocard/3ae625fb480231da4951f4f7bb97165f.jpeg;https://mnemoenglish.ru/sound/englishdom/sneak-snuck-snuck.mp3
Скорость;Speed;https://mnemoenglish.ru/img/mnemocard/7f2c89b20c2c22439845a5546491eebc.jpeg;https://mnemoenglish.ru/sound/englishdom/speed-sped-sped.mp3
Грубиян;Boor;https://mnemoenglish.ru/img/mnemocard/4ce253cbc050cb6dd0b897e67b62b4f3.jpeg;https://mnemoenglish.ru/sound/englishdom/boor.mp3
Гребень;Crest;https://mnemoenglish.ru/img/mnemocard/286aa674c971bcbb5ee311b577007bfd.jpeg;https://mnemoenglish.ru/sound/englishdom/crest.mp3
Осколки;Debris;https://mnemoenglish.ru/img/mnemocard/5ff7ee232ea451899683f1c95591c807.jpeg;https://mnemoenglish.ru/sound/englishdom/debris.mp3
Цифра;Figure;https://mnemoenglish.ru/img/mnemocard/12102ff9370f59967850f5efed680e7d.jpeg;https://mnemoenglish.ru/sound/englishdom/figure.mp3
Поднятие;Lift;https://mnemoenglish.ru/img/mnemocard/9072f2a749f18d42ac6e8faacc51d35c.jpeg;https://mnemoenglish.ru/sound/englishdom/lift.mp3
Сеть;Net;https://mnemoenglish.ru/img/mnemocard/93e3ee43c6952a78e2d339b10ba0e8e9.jpeg;https://mnemoenglish.ru/sound/englishdom/net.mp3
Штукатурка;Plaster;https://mnemoenglish.ru/img/mnemocard/8ed9439b224a9b2bc18e101a19e962d5.jpeg;https://mnemoenglish.ru/sound/englishdom/plaster.mp3
Между;Between;https://mnemoenglish.ru/img/mnemocard/96bb03ca4b47d512f97d6d6c4ae30d3b.jpeg;https://mnemoenglish.ru/sound/englishdom/between.mp3
Мимо;Past;https://mnemoenglish.ru/img/mnemocard/80d438529f33b9a081ac9617fca7cc0b.jpeg;https://mnemoenglish.ru/sound/englishdom/past.mp3
Что;That;https://mnemoenglish.ru/img/mnemocard/1eb57df6d383191ff826caf993e9444b.jpeg;https://mnemoenglish.ru/sound/englishdom/that.mp3
Рука;Arm;https://mnemoenglish.ru/img/mnemocard/857ca6c8a2617517e9f310ee77112aed.jpeg;https://mnemoenglish.ru/sound/englishdom/arm.mp3
Грудь;Breast;https://mnemoenglish.ru/img/mnemocard/70281475089a755299f30fb0d84bb2b1.jpeg;https://mnemoenglish.ru/sound/englishdom/breast.mp3
Щека;Cheek;https://mnemoenglish.ru/img/mnemocard/2b2ec9c8693484768825c897420eb3b4.jpeg;https://mnemoenglish.ru/sound/englishdom/cheek.mp3
Палец;Finger;https://mnemoenglish.ru/img/mnemocard/4650946fe1cdd5e3e5e731d6be456863.jpeg;https://mnemoenglish.ru/sound/englishdom/finger.mp3
Волосы;Hair;https://mnemoenglish.ru/img/mnemocard/8a342355d6a106e7fa9fa09f77ef7886.jpeg;https://mnemoenglish.ru/sound/englishdom/hair.mp3
Колено;Knee;https://mnemoenglish.ru/img/mnemocard/8d18e6137f5d96cefdc9142f8de04660.jpeg;https://mnemoenglish.ru/sound/englishdom/knee.mp3
Нога;Leg;https://mnemoenglish.ru/img/mnemocard/39bf64ef420e8f31fa28232ba2043b0b.jpeg;https://mnemoenglish.ru/sound/englishdom/leg.mp3
Губа;Lip;https://mnemoenglish.ru/img/mnemocard/379e0c1a8bb56e8ed0fee998f11c5a80.jpeg;https://mnemoenglish.ru/sound/englishdom/lip.mp3
Рот;Mouth;https://mnemoenglish.ru/img/mnemocard/3b882a7d699da83d8df125ea556593a0.jpeg;https://mnemoenglish.ru/sound/englishdom/mouth.mp3
Шея;Neck;https://mnemoenglish.ru/img/mnemocard/99f47805d508e2fe53dbb88a454abd5e.jpeg;https://mnemoenglish.ru/sound/englishdom/neck.mp3
Нос;Nose;https://mnemoenglish.ru/img/mnemocard/8610ebb689599e75304f96c766794a88.jpeg;https://mnemoenglish.ru/sound/englishdom/nose.mp3
Язык;Tongue;https://mnemoenglish.ru/img/mnemocard/22e415b3ad7b7d77a5b6bb8861db817f.jpeg;https://mnemoenglish.ru/sound/englishdom/tongue.mp3
Зуб;Tooth;https://mnemoenglish.ru/img/mnemocard/853e57e26d3d9730679fc12275c423d2.jpeg;https://mnemoenglish.ru/sound/englishdom/tooth.mp3
Талия;Waist;https://mnemoenglish.ru/img/mnemocard/94b19aa0565917907825a5b98dcfdbfa.jpeg;https://mnemoenglish.ru/sound/englishdom/waist.mp3
Запястье;Wrist;https://mnemoenglish.ru/img/mnemocard/985b96f2d2740f6a3e5342f3afde0ce7.jpeg;https://mnemoenglish.ru/sound/englishdom/wrist.mp3
Толстый;Fat;https://mnemoenglish.ru/img/mnemocard/9759eff064ca18ac4c0c15fe8915a9d7.jpeg;https://mnemoenglish.ru/sound/englishdom/fat.mp3
Квартира, приплюснутый;Flat;https://mnemoenglish.ru/img/mnemocard/7faf4e54c663bd6d42838c96a2b40a0c.jpeg;https://mnemoenglish.ru/sound/englishdom/flat.mp3
Рыжий;Red;https://mnemoenglish.ru/img/mnemocard/705a00ff60b23f8a63a1cdaf9c9858a9.jpeg;https://mnemoenglish.ru/sound/englishdom/red.mp3
Улыбка;Smile;https://mnemoenglish.ru/img/mnemocard/59b42227d803b3460c4c3277e54fdeaf.jpeg;https://mnemoenglish.ru/sound/englishdom/smile.mp3
Веселый;Glad;https://mnemoenglish.ru/img/mnemocard/31dd48d2a6f7fed5d49994ee691e5200.jpeg;https://mnemoenglish.ru/sound/englishdom/glad.mp3
Грустный;Sad;https://mnemoenglish.ru/img/mnemocard/79ce4316669cc0376253ac3a864e236d.jpeg;https://mnemoenglish.ru/sound/englishdom/sad.mp3
Лысый;Bald;https://mnemoenglish.ru/img/mnemocard/562e06e4eb05b311b11dbc49fd2290e3.jpeg;https://mnemoenglish.ru/sound/englishdom/bald.mp3
Усы;Moustache;https://mnemoenglish.ru/img/mnemocard/8e4d803b642336686e835ab75e66b7e2.jpeg;https://mnemoenglish.ru/sound/englishdom/moustache.mp3
Овал;Oval;https://mnemoenglish.ru/img/mnemocard/70b611c2c4576a70c919d324edfe305b.jpeg;https://mnemoenglish.ru/sound/englishdom/oval.mp3
Пухлый;Plump;https://mnemoenglish.ru/img/mnemocard/5d704ce69d1b0caf2a504134f2ec32c0.jpeg;https://mnemoenglish.ru/sound/englishdom/plump.mp3
Симпатичный;Pretty;https://mnemoenglish.ru/img/mnemocard/359baf145407a0c95e1ac338a8c6227b.jpeg;https://mnemoenglish.ru/sound/englishdom/pretty.mp3
Курносый;Snub;https://mnemoenglish.ru/img/mnemocard/66894ba380dc5b9360fa2d3981731fc4.jpeg;https://mnemoenglish.ru/sound/englishdom/snub.mp3
Квадратный;Square;https://mnemoenglish.ru/img/mnemocard/07776b2b61769dc8e031376c173d8004.jpeg;https://mnemoenglish.ru/sound/englishdom/square.mp3
Живот;Belly;https://mnemoenglish.ru/img/mnemocard/76836a433e70d50481d3233d442af614.jpeg;https://mnemoenglish.ru/sound/englishdom/belly.mp3
Подбородок;Chin;https://mnemoenglish.ru/img/mnemocard/3e7d837fe53ee0e9993be10b8c397206.jpeg;https://mnemoenglish.ru/sound/englishdom/chin.mp3
Локоть;Elbow;https://mnemoenglish.ru/img/mnemocard/135f4f016eae2304baa879e4d191fc93.jpeg;https://mnemoenglish.ru/sound/englishdom/elbow.mp3
Кулак;Fist;https://mnemoenglish.ru/img/mnemocard/3438c943f731ab971cf0e95e16f5675f.jpeg;https://mnemoenglish.ru/sound/englishdom/fist.mp3
Предплечье;Forearm;https://mnemoenglish.ru/img/mnemocard/46d8423e27163f493f76a280a4e2485b.jpeg;https://mnemoenglish.ru/sound/englishdom/forearm.mp3
Пятка;Heel;https://mnemoenglish.ru/img/mnemocard/3ac92dc6fc4944c32be1c45f65117165.jpeg;https://mnemoenglish.ru/sound/englishdom/heel.mp3
Бедро;Hip;https://mnemoenglish.ru/img/mnemocard/577340c37e2e4979340ee1efc2627189.jpeg;https://mnemoenglish.ru/sound/englishdom/hip.mp3
Печень;Liver;https://mnemoenglish.ru/img/mnemocard/12caf7525913b8e5b2917a6285882a8c.jpeg;https://mnemoenglish.ru/sound/englishdom/liver.mp3
Пупок;Navel;https://mnemoenglish.ru/img/mnemocard/344f11c209f0102e9cf48681df213e5d.jpeg;https://mnemoenglish.ru/sound/englishdom/navel.mp3
Ребра;Ribs;https://mnemoenglish.ru/img/mnemocard/50dc96a98a28d10edd2eba0940daf8fe.jpeg;https://mnemoenglish.ru/sound/englishdom/ribs.mp3
Череп;Skull;https://mnemoenglish.ru/img/mnemocard/7eb9b2b9df33c068b00391c54e5b5d6b.jpeg;https://mnemoenglish.ru/sound/englishdom/skull.mp3
Папа;Dad;https://mnemoenglish.ru/img/mnemocard/102bd5ebc7ff4c897439b24219ca213a.jpeg;https://mnemoenglish.ru/sound/englishdom/dad.mp3
Дочь;Daughter;https://mnemoenglish.ru/img/mnemocard/30de68237d8f6e104fbe803659be1744.jpeg;https://mnemoenglish.ru/sound/englishdom/daughter.mp3
Жена;Wife;https://mnemoenglish.ru/img/mnemocard/138154284a7f24b080203418debd73cd.jpeg;https://mnemoenglish.ru/sound/englishdom/wife.mp3
Общение;Communication;https://mnemoenglish.ru/img/mnemocard/73710f5897c82161207d004f25b0569b.jpeg;https://mnemoenglish.ru/sound/englishdom/communication.mp3
